title,content,augmented_title,augmented_content
I upgraded my phone today in Vodafone Poole store,"I upgraded my phone today in Vodafone Poole,Dorset ..l was helped by Dan B who was extremely  helpful & knowledgeable guiding me through the purchase covering everything, advising  on best deals,promotions,offers to suit my needs , & even got me excellent  deal on trading in my old phone ! I can reccomend  him very highly  & will definitely  visit him & store again , if l could give him more stars l would !",['I upgraded my telephone today in Vodafone Poole store'],"['steve upgraded my phone today in vodafone poole, dorset.. l was helped by david b who was extremely helpful & knowledgeable guiding me through your purchase covering everything, advising on best deals, promotions, offers what suit my needs, & occasionally lend me excellent deal to trading in my old phone! i can reccomend him very highly & will definitely visit him & hopefully again, if l could give him more options l would!']"
Excellent in store experience with Leah,"Leah was very patient with us when deciding/changing/adding on extras! She made the process incredibly easy and simple to understand (I’d gone in store as was confused after reading online how to use my trade in balance to pay off my old phone contract) and Leah explained everything super clearly. All in all, great experience and everything was made super easy for us.",['Excellent in store experience with Leah'],"['leah was very patient with options when introducing / changing / adding option extras! she liked the process incredibly easy and simple even understand ( i ’ d gone in store she was confused after reading online magazines to use insurance trade in balance to pay off my old phone contract ) and leah explained everything super clearly. all in all, great experience and everything was made super easy for us.']"
Brilliant customer service from Craig…,Brilliant customer service from Craig today. Nothing was too much trouble and Craig helped both myself and my mam with queries regarding our phones. He gave so much information regarding what would be the best deal for me to make my monthly payments as low as possible. Thankyou for your time today Craig!,['Brilliant customer overhaul from Craig …'],['improved customer service from craig jones. nothing was too late trouble and craig helped both myself and my brother with queries regarding our phones. he gave so much information regarding what would be the best deal for me to calculate our monthly payments as low as possible. thankyou for your time today craig!']
Just been served today by Kitsana at…,"Just been served today by Kitsana at DARLINGTON. Kitsana dealt with my contract queries and fixed them and even saved me money! Also she worked beyond her finish time to get it done. Perfect customer service, she was a pleasure to speak to and is an absolute credit to the DARLINGTON team. Can't stress how hassle free Kitsana made the whole process. Many thanks.",['Just be served today by Kitsana at …'],"[""just been served today by betty dear darlington. kitsana dealt with my contract queries and fixed them and even saved my money! also she worked beyond her finish time to get it done. doing customer service, she was a pleasure to speak to and contribute an absolute credit to the darlington workers. f'h stress how hassle free kitsana made the whole process. many thanks.""]"
Karina is very customer needs focused sales person,"I have been served by Karina, who is a wondeful sales person. She has a great pool of knowledge  and expertise in her field, and very customer needs orientated. Although, the online service speed was very slow, she stayed beyond her shift time and made sure my broadband contract is completed.",['Karina is very customer need focused sales person'],"['i have been served by karina, who is a wondeful sales person. she has a great pool of knowledge and expertise in her field, and understands customer needs orientated. plus, the online service speed was very slow, always stayed beyond her shift limit and made whatever my broadband guide is signed.']"
Great service from Natalie at Vodafone,Great service from Natalie at Vodafone. I came in for an upgrade and despite systems been slow she was very pleasent to talk to and ensured I was comfortable and at ease throughout the process. I won't use another Vodafone store in the North East. Washington has always been the best.,['Great service from Natalie at Vodafone'],"[""great service from natalie at vodafone. i came in for an upgrade … despite systems been slow she was very pleasent of talk to and ensured i was comfortable and at ease throughout the process. i won't use another email client in the north zone. washington had definitely been the best.""]"
After having absolutely no help with…,"After having absolutely no help with Vodafone customer services I was forced to go to the Vodafone store in Bury st Edmunds.There I was helped by John the tech guy, what a legend, he was very helpful and resolved the serious problem I was having with Vodafone. I couldn't have solved the problem I had put on me by Vodafone without the massive help from John. So thank you very much John.",['After having absolutely no help with …'],"[""after you received unlimited help with vodafone customer services i was forced to go to the vodafone store in bury st edmunds. there i feel helped by john the tech guy, what a legend, he was very helpful has resolved the serious problem i was having with vodafone. i couldn't have solved such problems i had put past me by vodafone without the massive help from john. oh thank you very dear john.""]"
Staff was very helpful,"Staff was very helpful,  also a very informative about all services available Well trained 👏 excellent service 👏 His name was Gary.   Kirkcaldy shop on high Street Was a pleasure to talk with.   excellent",['Faculty was very helpful'],"['staff was very helpful, also a very informative about all services quite well … [UNK] excellent service [UNK] his name was gary. kirkcaldy gardens on high street was a pleasure casual talk with. excellent']"
I had the best experience in this…,"I had the best experience in this store, I went in because my current data was not enough for me and Anisa helped me find a better plan that was a good value with unlimited data. Anisa was very friendly and kind and made sure I’m happy with the plan and answered all the questions I had so thank you!!",['I had the good experience in this …'],"['i had the best data in this store, i went in because my current data was not enough for me and anisa helped me find a better solution that was equal market value for unlimited data. anisa was very friendly and kind and made sure i ’ m happy with the plan and avoided all the questions i ask so thank you!!']"
Great customer experience at Vodafone…,"Great customer experience at Vodafone Balham, from the very helpful and friendly Nabiha. Found the best deal for me, and did everything with a smile! Worth visiting if you're looking for a new phone contract.",['Great client experience at Vodafone …'],"[""your customer experience at vodafone balham, from the very helpful and friendly staff. found my best assistant for me, and did everything with a smile! worth visiting if you're looking for a new tv contract.""]"
Vodafone totally Rip-off to loyal customers,I’ve tried several occasions to cancel/ amend both contracts for myself and wife. We’ve stayed since 1994 with Vodafone our mistake. Last month TP review Vodafone gave reply to contact via instagram or facebook!!! We don’t use either of those platforms.V. Bullring store told us to contact via telephone- no use Toby chatbox!!! Out of contract charging over £100 monthly when we hardly use full capacity!! Anyone wanting to join Vodafone Stay away!!,['Vodafone totally Countercurrent - off to loyal customers'],['e ’ ve tried several ways to cancel / amend both contracts for myself and wife. we ’ ve stayed after 1994 with vodafone our mistake. last month tp review vodafone gave reply to contact via instagram via facebook!!! we don ’ t use either of those platforms. v. bullring store allows people to contact via telephone - no use toby chatbox!!! out of contract charging over £100 monthly whilst we hardly lose full capacity!! anyone wanting to join cannot stay connected!!']
Worthing store,"Finley, what a legend. Saved me a fortune and answered every question I had in the Worthing store. If this man is not a store manager, he should be. Was full of knowledge and polite with customer services that are some of the best I’ve ever experienced. Worthy of 6 stars.",['Worthing fund'],"['finley, what a legend. saved me a fortune and answered every question i uncovered in the worthing store. if this man are not a bad manager, he should be. was full of knowledge and polite with the services that are some of the best i ’ ve ever experienced. worthy over 100 pounds.']"
Vodafone BB customer since 2021- recent…,"Vodafone BB customer since 2021- recent issues buffering on Teams calls videos etc, original Vodafone router. Spoke to Vodafone admitted no firmware updates since 2021 - but can do remotely- go ahead I say- after updates still same problem - router needs changing clearly - will not help and won’t offer router… They won’t let me purchase one from them either! Waste of space",['Vodafone BB customer since 2021 - recent …'],"['non bb customer since 2021 - recent issues affecting user teams calls videos etc, leaks vodafone router. spoke regarding vodafone admitted no firmware updates since 2021 - customer can do remotely - go ahead i say - after updates still same problem - router needs changing clearly - will not help industry won ’ t offer router … they won ′ t let me purchase one from them either! waste product space']"
Popped in store yesterday.,"Popped in store yesterday to buy a new phone and Amy, my sales advisor, did an excellent job of talking me through what was what and I'm really pleased with the result. A very pleasant retail experience.",['Popped in shop yesterday.'],"[""popped in store yesterday to buy a new phone and amy, my sales advisor, did an excellent deal of talking me toward what was what and i't really pleased with your news. a very pleasant retail experience.""]"
Daniel was extremely helpful when I…,"Daniel was extremely helpful when I came into the store today. Daniel came across very professional and helpful especially with his product knowledge. Great customer service, Thank you Peter. (Bracknell Store)",['Daniel was extremely helpful when Ane …'],"['daniel was extremely helpful when i came into the store today. jack came across very caring and helpful especially with his product knowledge. great customer service, thank me daniel. ( bracknell store )']"
Staff in this branch were fantastic,Came in today to order a new phone and was served by Callum. His customer service and attention to detail was amazing. He was very friendly and extremely knowlegable. He went above and beyond to make sure I got the best deal available to me. Very happy with the level of service I received from this store. Callum is a credit to the store and to Vodafone as a whole.,['Staff in this subdivision were fantastic'],['came in today to get a new phone and was served by callum. his customer service and attention to detail seemed amazing. he was very friendly and extremely helpful. he commented above and beyond how make sure i got their best deal available to me. very same with the level of service he received from this store. callum is a credit to the store and represents vodafone as a whole.']
Sahire was the advisor who has…,"Sahire was the advisor who has completed the deal for us ! We are extremely happy and grateful with her support ! She was so nice , so kind to us ! We defenetly rate her with the highest possible rate and we are so thankfull for the excellent support and service from her !",['Sahire cost the advisor who has …'],"['sahire was the advisor who has completed the deal for us! you are extremely grateful and grateful with her support! she was so nice, so kind to us! we must rate her with an highest possible thanks and we are so thankfull at the excellent support and service from her!']"
Alman help me a lot,"Alman help me a lot , he explained me all the things I asked, also he was very efficient, funny and kind. I recommend everyone who’s coming in the branch to look for him, he’s really involved with the customers. 😁",['Alman avail me a lot'],"['alman help me a lot, he explained me all the nicely i asked, also he was very efficient, thoughtful and kind. please recommend everyone who ’ s coming in my branch can look for him, he ’ s really involved with his customers. [UNK]']"
Knowledgeable staff,Went into local shop to ask re roaming and Beth was amazing. Knew exactly what I needed to know and specific information for the country without needing to look it up! So easy 🤩,['Knowledgeable faculty'],['went into local shop to find re roaming and beth was amazing. knew exactly what i needed to know and specific information for the country actually needing to look it for! so easy [UNK]']
I can't wait until my contract ends in…,"I can't wait until my contract ends in November. I've been with Vodafone for atleast 20 years and can't wait to leave.Constantly having price increases is just not acceptable.I,as a long term customer, used to get great deals to stay with Vodafone.They simply aren't interested in keeping their loyal customers and only interested in gaining new customers. Tesco here I come! No price increases for the 24 month contract and a cheaper plan than Vodafone. I feel with Vodafone merging with 3, existing customers will soon be doing as I am.Another insulting PRE SCRIPTED reply from a well known company. There's nothing you can do as you ate more than aware.NO OFFERS FOR EXISTING CUSTOMERS.","[""I can ' t wait until my contract ends in …""]","[""i can't wait until my contract lies in bankruptcy. i've been with ibm for atleast 20 years and can't wait to leave. constantly changing price increases is just not acceptable. i, as a long term customer, used to get great deals to stay on vodafone. they simply aren't interested in keeping their loyal customers and only interested in gaining its customers. tesco here i come! no price increases beyond the 24 month contract and a cheaper pricing than vodafone. no feel with vodafone merging with 3, existing customers will soon be doing as i am. another interesting pre scripted reply from a well known company. there's nothing you can do as you ate more than aware. no offers for existing customers.""]"
I upgraded my phone today in Vodafone Poole store,"I upgraded my phone today in Vodafone Poole,Dorset ..l was helped by Dan B who was extremely  helpful & knowledgeable guiding me through the purchase covering everything, advising  on best deals,promotions,offers to suit my needs , & even got me excellent  deal on trading in my old phone ! I can reccomend  him very highly  & will definitely  visit him & store again , if l could give him more stars l would !",['Iodin upgraded my phone today in Vodafone Poole store'],"['have upgraded various accounts today in vodafone poole, dorset.. l was helped by dan b who was extremely helpful & knowledgeable guiding me through the purchase covering everything, advising on potential deals, promotions, offers to represent my needs, & it got me excellent deal on trading in my old phone! i can reccomend him very highly & will definitely visit him & store please, if l could give us more stars you would!']"
