title,content
I upgraded my phone today in Vodafone Poole store,"I upgraded my phone today in Vodafone Poole,Dorset ..l was helped by Dan B who was extremely  helpful & knowledgeable guiding me through the purchase covering everything, advising  on best deals,promotions,offers to suit my needs , & even got me excellent  deal on trading in my old phone ! I can reccomend  him very highly  & will definitely  visit him & store again , if l could give him more stars l would !"
Excellent in store experience with Leah,"Leah was very patient with us when deciding/changing/adding on extras! She made the process incredibly easy and simple to understand (I’d gone in store as was confused after reading online how to use my trade in balance to pay off my old phone contract) and Leah explained everything super clearly. All in all, great experience and everything was made super easy for us."
Brilliant customer service from Craig…,Brilliant customer service from Craig today. Nothing was too much trouble and Craig helped both myself and my mam with queries regarding our phones. He gave so much information regarding what would be the best deal for me to make my monthly payments as low as possible. Thankyou for your time today Craig!
Just been served today by Kitsana at…,"Just been served today by Kitsana at DARLINGTON. Kitsana dealt with my contract queries and fixed them and even saved me money! Also she worked beyond her finish time to get it done. Perfect customer service, she was a pleasure to speak to and is an absolute credit to the DARLINGTON team. Can't stress how hassle free Kitsana made the whole process. Many thanks."
Karina is very customer needs focused sales person,"I have been served by Karina, who is a wondeful sales person. She has a great pool of knowledge  and expertise in her field, and very customer needs orientated. Although, the online service speed was very slow, she stayed beyond her shift time and made sure my broadband contract is completed."
Great service from Natalie at Vodafone,Great service from Natalie at Vodafone. I came in for an upgrade and despite systems been slow she was very pleasent to talk to and ensured I was comfortable and at ease throughout the process. I won't use another Vodafone store in the North East. Washington has always been the best.
After having absolutely no help with…,"After having absolutely no help with Vodafone customer services I was forced to go to the Vodafone store in Bury st Edmunds.There I was helped by John the tech guy, what a legend, he was very helpful and resolved the serious problem I was having with Vodafone. I couldn't have solved the problem I had put on me by Vodafone without the massive help from John. So thank you very much John."
Staff was very helpful,"Staff was very helpful,  also a very informative about all services available Well trained 👏 excellent service 👏 His name was Gary.   Kirkcaldy shop on high Street Was a pleasure to talk with.   excellent"
I had the best experience in this…,"I had the best experience in this store, I went in because my current data was not enough for me and Anisa helped me find a better plan that was a good value with unlimited data. Anisa was very friendly and kind and made sure I’m happy with the plan and answered all the questions I had so thank you!!"
Great customer experience at Vodafone…,"Great customer experience at Vodafone Balham, from the very helpful and friendly Nabiha. Found the best deal for me, and did everything with a smile! Worth visiting if you're looking for a new phone contract."
Vodafone totally Rip-off to loyal customers,I’ve tried several occasions to cancel/ amend both contracts for myself and wife. We’ve stayed since 1994 with Vodafone our mistake. Last month TP review Vodafone gave reply to contact via instagram or facebook!!! We don’t use either of those platforms.V. Bullring store told us to contact via telephone- no use Toby chatbox!!! Out of contract charging over £100 monthly when we hardly use full capacity!! Anyone wanting to join Vodafone Stay away!!
